email,betweenness,pagerank
user0,0.0,0.3836570481407919
user1,362792.29013355024,19.40607958075676
user2,0.0,0.3836570481407919
user3,1039.2875764856594,1.0412936944700344
user4,8653.08028972348,1.5611729976512223
user5,213774.77784905376,10.807100669099778
user6,4155.183131463671,1.6614277118055494
user7,7362.957131416166,2.4246350628037945
user8,0.0,0.3836570481407919
user9,98920.56760383958,6.211647107285198
user10,0.0,1.0092966209353356
user11,1082.1592945501777,1.2287393291535915
user12,1082.1592945501777,1.2287393291535917
user13,11938.414772339509,3.144789509051875
user14,0.0,0.3836570481407919
user15,2653.2284806881203,1.518627025955679
user16,928.3375227778773,1.0972240826225084
user17,0.0,0.3836570481407919
user18,1058.7589992837493,0.9204750173733163
user19,4388.243858410338,0.7224177471962974
user20,0.0,0.3836570481407919
user21,1476.491649425829,1.0370461820487702
user22,0.0,0.3836570481407919
user23,0.0,0.3836570481407919
user24,0.0,0.3836570481407919
user25,386.2071928530619,0.5975133800414386
user26,0.0,0.3836570481407919
user27,396538.1564639531,13.136480201762442
user28,0.0,0.3836570481407919
user29,0.0,0.3836570481407919
user30,883.5921823538919,0.5234865603691882
user31,4388.243858410338,0.7224177471962974
user32,883.5921823538919,0.5234865603691882
user33,0.0,0.3836570481407919
user34,0.0,0.3836570481407919
user35,2039.3445981081948,0.6352609605941075
user36,0.0,0.3836570481407919
user37,0.0,0.3836570481407919
user38,0.0,0.3836570481407919
user39,31127.863683040396,2.9381466953302326
user40,0.0,0.3836570481407919
user41,2039.3445981081948,0.6352609605941075
user42,1204.763323565585,0.869059577680788
user43,0.0,0.3836570481407919
user44,6666.299719943146,1.6117205465455744
user45,47089.36136051135,4.436496035461174
user46,524550.0821488721,19.56009344358915
user47,0.0,0.3836570481407919
user48,0.0,0.3836570481407919
user49,1689.7009060837115,1.9661933859347678
user50,1319.0607598434474,2.057788833173714
user51,2428.6737323292987,1.219648626707503
user52,2039.3445981081948,0.6352609605941075
user53,277363.8055208113,19.635017374952227
user54,897029.8343220425,24.988256837963498
user55,48411.29005207942,3.2868704582917316
user56,1520731.5768209642,52.72515988062748
user57,0.0,0.3836570481407919
